epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,116.632,1.78831,3.6062,1.75677,1.35476,0,0.0266,0.77778,0.33104,0.12307,0.0131,0.61111,0.10143,0.0436,2.0418,4.22173,3.07949,1.44852,0,0.000134452,0.000134452,0.000134452
40,119.464,1.98541,3.8226,2.35226,1.36457,0,0.0266,0.77778,0.33104,0.12307,0.0131,0.61111,0.10143,0.0436,2.0418,4.22173,3.07949,1.44852,0,0.000126955,0.000126955,0.000126955
41,122.31,1.90911,3.65942,2.08575,1.31841,0,0.02484,0.72222,0.35092,0.13858,0.01416,0.61111,0.17476,0.06124,2.05404,4.16275,3.12068,1.47326,0,0.000118893,0.000118893,0.000118893
42,125.043,1.8936,3.46693,2.11459,1.37586,0,0.02484,0.72222,0.35092,0.13858,0.01416,0.61111,0.17476,0.06124,2.05404,4.16275,3.12068,1.47326,0,0.000110264,0.000110264,0.000110264
43,127.84,1.86428,3.65748,1.97287,1.37415,0,0.0249,0.72222,0.39388,0.14532,0.01239,0.55556,0.11135,0.04949,2.05048,4.0488,3.11151,1.46938,0,0.00010107,0.00010107,0.00010107
44,130.636,1.7271,3.45499,1.92739,1.33048,0,0.0249,0.72222,0.39388,0.14532,0.01239,0.55556,0.11135,0.04949,2.05048,4.0488,3.11151,1.46938,0,9.13102e-05,9.13102e-05,9.13102e-05
45,133.375,1.88865,3.64645,2.0509,1.34604,0,0.025,0.72222,0.34759,0.14033,0.01141,0.55556,0.11205,0.05021,2.08447,3.99311,3.11614,1.45477,0,8.09843e-05,8.09843e-05,8.09843e-05
46,136.159,1.77793,3.55876,1.95389,1.31855,0,0.025,0.72222,0.34759,0.14033,0.01141,0.55556,0.11205,0.05021,2.08447,3.99311,3.11614,1.45477,0,7.00924e-05,7.00924e-05,7.00924e-05
47,138.914,1.92558,3.5069,1.91234,1.31219,0,0.02672,0.77778,0.34446,0.15771,0.0194,0.61111,0.1177,0.05435,2.08134,3.97006,3.08679,1.43631,0,5.86347e-05,5.86347e-05,5.86347e-05
48,141.734,1.77721,3.45094,1.89825,1.27005,0,0.02672,0.77778,0.34446,0.15771,0.0194,0.61111,0.1177,0.05435,2.08134,3.97006,3.08679,1.43631,0,4.66111e-05,4.66111e-05,4.66111e-05
49,144.476,1.86174,3.58955,1.93926,1.29701,0,0.02664,0.77778,0.36551,0.17644,0.02208,0.66667,0.14774,0.05953,2.07316,3.9848,3.10083,1.4384,0,3.40216e-05,3.40216e-05,3.40216e-05
50,147.222,1.7338,3.39964,1.90295,1.29439,0,0.02664,0.77778,0.36551,0.17644,0.02208,0.66667,0.14774,0.05953,2.07316,3.9848,3.10083,1.4384,0,2.08663e-05,2.08663e-05,2.08663e-05
